Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C104, C106, C107, C108, C11, C110, C112, C113, C114, C115, C116, C117, C128, C129, C130, C131, C133, C134, C14, C140, C141, C143, C144, C145, C146, C147, C18, C19, C29, C38, C4, C40, C41, C42, C53, C54, C57, C58, C6, C61, C65, C68, C7, C71, C77, C79, C8, C80, C9, C91",0603,52,100n,C14663
"C100, C101",0603,2,"1n,50V",C309468
"C102, C103",0603,2,"10n,50V",C57112
"C105, C142, C2, C20, C24, C33, C63, C81, C85, C86, C87",0603,11,1u,C15849
"C109, C132, C135, C136, C137, C138, C139, C36, C69, C94, C95",0603,11,1n,C309468
C111,0603,1,10u,C2959727
"C119, C89, C90, C92, C93",0603,5,33n,C576851
"C12, C17",0603,2,8p,C36508
"C120, C43",0805,2,10u,C15850
"C121, C30, C83",0603,3,10n,C57112
"C122, C3, C5, C66, C67",0603,5,2u2,C23630
C123,2220,1,"68n,200V,5%,C0G/NP0",C2175506
"C13, C16",0603,2,47p,C1671
"C15, C39",0603,2,4u7,C19666
"C21, C22, C26",1210,3,"10u,50V",C77102
C23,0603,1,330n,C1615
"C25, C31, C32",0805,3,2u2,C377773
"C27, C55, C56",1210,3,"4u7,50V",C86052
C28,0603,1,68p,C62782
C34,1210,1,47u,C77101
"C35, C37, C44",1210,3,22u,C309062
"C45, C46, C47",1210,3,"10u,63V",C437568
"C48, C50, C51, C52",0805,4,22u,C45783
C49,0805,1,"1u,100V",C105952
"C59, C60",1210,2,"22u,25V",C309062
"C62, C64",0603,2,30p,C1658
C70,0603,1,1n2,C576796
C72,0603,1,100p,C14858
C73,0603,1,6n8,C1631
"C74, C76, C82, C84",0805,4,1u,C105952
C75,1210,1,10u,C77102
"C96, C97",1206,2,"680n,100V",C710483
"C98, C99",0805,2,"220n,100V",C513710
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2843785
D10,SC-59,1,"1SS396,LF",C2762668
D11,D_SOD-323F,1,BAT54WS,C22629
D2,TO-277B,1,PDS760-13,C3018534
D3,SMBJ,1,SMBJ24CA,C83268
D4,SOD-123_ONS,1,MMSZ12T1G,C72599
"D5, D6, D7, D8",0603,4,Red,C2286
D9,D_SMC,1,SMLJ150CA,C5924268
F1,1206,1,6A,C3165603
J1,PinHeader_2x05_P1.27mm_Vertical,1,Conn_ARM_JTAG_SWD_10,C5883263
"J2, J3",USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,2,USB_B_Micro,C132562
J4,UAM_DaughterCard,1,~,
J5,CONN2_2601-1102_WAG,1,2601-1102,C7509568
J6,CONN3_2601-1103_WAG,1,2601-1103,C7472698
L1,L_Bourns_SRP6060FA,1,6u8,C2047089
L2,L_Bourns_SRP6060FA,1,15u,C2047415
L3,L_Bourns-SRN8040_8x8.15mm,1,33u,C780189
"L4, L5",CDRH127L125NP,2,33u,C2595984
L6,B82477D4xxxM900,1,136u,C1016922
"L7, L9",L_Pulse_PA4344,2,100u,C2452965
"Q1, Q10, Q12, Q13, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,10,BSS138,C40912
Q11,SOT-23,1,DMP3068L-7,C151010
Q2,VSON-8_3.3x3.3mm_P0.65mm_NexFET,1,CSD18543Q3A,C840100
Q3,Vishay_PowerPAK_1212-8_Single,1,Si7617DN,C727607
"R10, R11, R36, R85",0603,4,2k49,C100897
"R100, R13",0603,2,56k,C23206
R101,0603,1,8k66,C23114
R102,0603,1,2k05,C22900
R103,0603,1,16k9,C25954
