Designator,Mid X,Mid Y,Rotation,Layer
C1,89.5,-72.25,180.0,top
C10,90.25,-65.0,90.0,top
C100,89.75,-145.5,90.0,top
C101,103.0,-108.9,90.0,top
C102,86.75,-145.475,270.0,top
C103,104.55,-105.9,90.0,top
C104,107.0,-54.5,180.0,top
C105,67.3,-69.4,270.0,top
C106,71.2,-72.0,180.0,top
C107,114.5,-80.075,0.0,top
C108,113.8375,-76.925,270.0,top
C109,142.7,-88.8,0.0,top
C11,92.5,-58.0,90.0,top
C110,145.2,-91.3,90.0,top
C111,138.8,-93.7,270.0,top
C112,144.9,-95.8,90.0,top
C113,142.6,-94.7,0.0,top
C114,135.5,-102.5,0.0,top
C115,134.0,-108.5,180.0,top
C116,137.0,-97.1,180.0,top
C117,134.1,-97.9,90.0,top
C119,138.4,-105.9,90.0,top
C12,88.75,-68.0,270.0,top
C120,132.1,-105.0,180.0,top
C121,130.3,-100.2,0.0,top
C122,133.3,-100.2,0.0,top
C123,116.0,-134.25,90.0,top
C128,129.15,-92.6,0.0,top
C129,128.85,-98.3,0.0,top
C13,95.75,-77.5,270.0,top
C130,137.3,-94.2,270.0,top
C131,131.7,-91.5,90.0,top
C132,128.0,-100.75,90.0,top
C133,140.1,-87.4,270.0,top
C134,134.5,-87.4,90.0,top
C135,126.5,-100.75,90.0,top
C136,129.15,-91.1,0.0,top
C137,131.0,-87.7,0.0,top
C138,137.3,-89.9,0.0,top
C139,133.0,-85.4,90.0,top
C14,90.25,-62.0,90.0,top
C140,123.3,-83.575,0.0,top
C141,123.9,-78.475,0.0,top
C142,123.9,-76.975,0.0,top
C143,131.5,-85.4,270.0,top
C144,134.0,-81.6,270.0,top
C145,127.5,-81.0,180.0,top
C146,127.2,-72.7,0.0,top
C147,145.9,-88.8,0.0,top
C15,108.25,-76.0,270.0,top
C16,97.25,-77.5,270.0,top
C17,90.25,-68.0,90.0,top
C18,86.7,-87.1,0.0,top
C19,131.2,-66.9,0.0,top
C2,89.5,-73.75,180.0,top
C20,121.1,-57.6,90.0,top
C21,71.75,-74.5,0.0,top
C22,71.75,-77.75,0.0,top
C23,86.63,-89.54,0.0,top
C24,74.0,-82.5,270.0,top
C25,113.0,-85.675,90.0,top
C26,69.64,-95.715,90.0,top
C27,70.69,-88.27,90.0,top
C28,83.5,-101.0,180.0,top
C29,72.34,-92.97,90.0,top
C3,106.0,-76.75,180.0,top
C30,86.5,-99.5,180.0,top
C31,120.0,-89.425,270.0,top
C32,116.0,-86.425,180.0,top
C33,74.5,-98.25,0.0,top
C34,76.5,-81.75,90.0,top
C35,79.75,-81.75,90.0,top
C36,81.0,-100.25,270.0,top
C37,111.25,-78.5,90.0,top
C38,81.2,-85.56,270.0,top
C39,114.0,-82.425,270.0,top
C4,108.0,-80.0,180.0,top
C40,112.5,-82.425,270.0,top
C41,93.0,-88.75,180.0,top
C42,121.03,-85.975,90.0,top
C43,119.28,-85.975,90.0,top
C44,97.0,-89.25,0.0,top
C45,89.75,-101.75,90.0,top
C46,89.75,-106.5,270.0,top
C47,93.0,-106.5,270.0,top
C48,93.75,-80.0,180.0,top
C49,92.5,-102.25,90.0,top
C5,109.83,-61.41,270.0,top
C50,93.75,-82.0,180.0,top
C51,123.5,-88.175,180.0,top
C52,123.0,-90.175,180.0,top
C53,93.575,-83.8625,180.0,top
C54,125.75,-85.25,90.0,top
C55,55.8875,-103.7,90.0,top
C56,52.5,-103.75,90.0,top
C57,58.3875,-102.95,90.0,top
C58,56.3,-107.0,0.0,top
C59,65.75,-105.5,90.0,top
C6,97.9,-56.6,90.0,top
C60,65.75,-110.25,270.0,top
C61,63.0,-106.3,90.0,top
C62,82.275,-78.25,180.0,top
C63,77.8,-56.6,0.0,top
C64,85.275,-78.25,0.0,top
C65,79.1,-73.5,0.0,top
C66,79.1,-72.0,0.0,top
C67,87.5,-77.5,90.0,top
C68,82.8,-68.3,90.0,top
C69,56.9,-117.9,180.0,top
C7,87.375,-59.7,180.0,top
C70,58.5,-121.4,0.0,top
C71,64.4,-122.8,270.0,top
C72,62.0,-125.5,180.0,top
C73,58.9,-125.9,180.0,top
C74,78.69,-120.95,90.0,top
C75,63.6,-130.1,270.0,top
C76,78.69,-124.45,270.0,top
C77,66.0,-130.9,270.0,top
C79,67.2,-134.0,90.0,top
C8,109.04,-59.2,0.0,top
C80,66.49,-116.93,270.0,top
C81,62.6,-127.0,0.0,top
C82,78.69,-128.15,90.0,top
C83,54.0,-109.4,270.0,top
C84,79.19,-130.9,180.0,top
C85,65.7,-126.6,0.0,top
C86,52.0,-109.4,270.0,top
C87,66.4,-124.3,270.0,top
C89,69.57,-133.9,180.0,top
C9,92.7,-75.8,90.0,top
C90,69.49,-116.87,180.0,top
C91,65.1,-119.6,180.0,top
C92,69.5,-115.41,180.0,top
C93,69.56,-135.41,180.0,top
C94,83.75,-145.0,180.0,top
C95,82.75,-114.25,180.0,top
C96,93.75,-146.0,90.0,top
C97,96.5,-108.0,90.0,top
C98,91.5,-145.5,90.0,top
C99,101.2,-108.6,90.0,top
D1,133.2,-70.65,90.0,top
D10,128.5,-85.1,0.0,top
D11,124.9,-133.7,0.0,top
D2,83.9,-104.22,180.0,top
D3,58.71,-87.87,270.0,top
D4,67.25,-78.0,90.0,top
D5,70.2,-66.2,180.0,top
D6,70.2,-64.7,180.0,top
D7,70.2,-63.2,180.0,top
D8,70.2,-61.7,180.0,top
D9,116.75,-141.5,0.0,top
F1,54.75,-85.75,90.0,top
J1,98.25,-51.885,0.0,top
J2,115.872369,-54.289575,160.0,top
J3,83.627631,-54.189576,200.0,top
J4,100.0,-87.54,0.0,top
J5,60.9375,-96.5549,270.0,top
J6,139.0549,-116.5625,0.0,top
L1,72.25,-102.5,270.0,top
L2,76.19,-87.7,0.0,top
L3,59.5,-112.6,0.0,top
L4,88.91,-136.45,90.0,top
L5,87.85,-122.39,90.0,top
L6,103.75,-137.75,270.0,top
L7,104.0,-120.25,90.0,top
L9,122.25,-120.25,270.0,top
Q1,124.8875,-66.85,180.0,top
Q10,112.0,-74.0,180.0,top
Q11,142.7,-79.2,270.0,top
Q12,142.2,-83.8,270.0,top
Q13,139.8,-75.9,0.0,top
Q2,77.92,-104.69,180.0,top
Q3,58.99,-78.185,270.0,top
Q4,82.6,-109.0,0.0,top
Q5,86.25,-112.75,0.0,top
Q6,73.7625,-66.9,0.0,top
Q7,76.6,-64.8,0.0,top
Q8,73.7,-62.7,0.0,top
Q9,76.6,-60.6,0.0,top
R10,75.1,-73.625,90.0,top
R100,139.8,-99.7,90.0,top
R101,134.1,-95.6,180.0,top
R102,131.6,-94.95,270.0,top
R103,126.5,-97.75,90.0,top
R104,126.5,-94.75,90.0,top
R105,128.0,-89.2,0.0,top
R106,131.0,-89.2,180.0,top
R107,134.1,-90.1,0.0,top
R108,138.1,-91.4,180.0,top
R109,136.9,-84.8,0.0,top
R11,76.6,-73.6,90.0,top
R110,121.0,-79.875,270.0,top
R111,121.0,-82.875,270.0,top
R112,127.5,-82.5,0.0,top
R113,139.3,-73.3,180.0,top
R114,145.1,-83.1,90.0,top
R115,127.2,-71.15,0.0,top
R116,112.15,-59.55,90.0,top
R12,116.5,-63.0,270.0,top
R13,116.5,-66.0,270.0,top
R14,121.45,-65.65,0.0,top
R15,128.2,-67.9,270.0,top
R16,109.69,-53.665,90.0,top
R17,107.0,-53.0,180.0,top
R18,121.9,-63.01,180.0,top
R19,111.83,-65.56,0.0,top
R20,112.63,-68.93,180.0,top
R21,111.82,-67.43,0.0,top
R22,83.425,-87.24,0.0,top
R23,83.25,-88.75,0.0,top
R24,74.71,-93.03,0.0,top
R25,81.0,-88.75,90.0,top
R26,82.7,-84.4,90.0,top
R27,83.5,-99.5,180.0,top
R28,75.1,-77.7,90.0,top
R29,84.2,-84.4,270.0,top
R30,77.75,-98.25,0.0,top
R31,117.5,-80.175,0.0,top
R32,119.25,-82.675,270.0,top
R33,78.25,-99.75,180.0,top
R34,78.25,-101.5,0.0,top
R35,78.0,-95.75,90.0,top
R36,77.68,-93.04,0.0,top
R37,127.9,-87.7,0.0,top
R38,65.7125,-102.2,180.0,top
R39,62.7125,-102.2,180.0,top
R4,89.5,-75.25,180.0,top
R40,89.8,-80.1,0.0,top
R41,97.0,-86.5,0.0,top
R42,79.1,-75.0,0.0,top
R43,89.8,-77.1,0.0,top
R44,83.6,-76.75,180.0,top
R45,80.5,-76.75,0.0,top
R46,107.7,-82.9,90.0,top
R47,105.2,-87.2,90.0,top
R48,87.2,-74.5,270.0,top
R49,65.4,-74.35,270.0,top
R50,102.8,-90.0,0.0,top
R51,85.3,-109.0,90.0,top
R52,65.69,-114.63,180.0,top
R53,100.5,-89.25,90.0,top
R54,88.95,-112.85,90.0,top
R55,59.2,-119.1,90.0,top
R56,56.0,-120.3,270.0,top
R57,61.2,-129.3,270.0,top
